"time","MCF-LW12CO2.mean_humidity","MCF-LW12CO2.mean_temperature"
"2021-11-21T20:56:00.000+01:00",,
"2021-11-21T21:24:00.000+01:00","24","21.84"
"2021-11-21T21:52:00.000+01:00","24","21.82"
"2021-11-21T22:20:00.000+01:00","24","21.8"
"2021-11-21T22:48:00.000+01:00","23.5","21.76"
"2021-11-21T23:16:00.000+01:00","23.5","21.72"
"2021-11-21T23:44:00.000+01:00","23","21.68"
"2021-11-22T00:12:00.000+01:00","23","21.65"
"2021-11-22T00:40:00.000+01:00","23","21.65"
"2021-11-22T01:08:00.000+01:00","23","21.61"
"2021-11-22T01:36:00.000+01:00","22.5","21.56"
"2021-11-22T02:04:00.000+01:00","22.5","21.52"
"2021-11-22T02:32:00.000+01:00","22","21.46"
"2021-11-22T03:00:00.000+01:00",,
"2021-11-22T03:28:00.000+01:00","22","21.42"
"2021-11-22T03:56:00.000+01:00","21.5","21.36"
"2021-11-22T04:24:00.000+01:00","21.5","21.32"
"2021-11-22T04:52:00.000+01:00","21.5","21.35"
"2021-11-22T05:20:00.000+01:00","21.5","21.37"
"2021-11-22T05:48:00.000+01:00","21.5","21.37"
"2021-11-22T06:16:00.000+01:00","21","21.36"
"2021-11-22T06:44:00.000+01:00","21","21.34"
"2021-11-22T07:12:00.000+01:00","20","21.26"
"2021-11-22T07:40:00.000+01:00","20","21.1"
"2021-11-22T08:08:00.000+01:00","19.5","20.96"
"2021-11-22T08:36:00.000+01:00","20","20.93"
"2021-11-22T09:04:00.000+01:00",,
"2021-11-22T09:32:00.000+01:00","20","20.94"
"2021-11-22T10:00:00.000+01:00","20","20.92"
"2021-11-22T10:28:00.000+01:00","20.5","20.88"
"2021-11-22T10:56:00.000+01:00","21","20.97"
"2021-11-22T11:24:00.000+01:00","21","21.08"
"2021-11-22T11:52:00.000+01:00","21","21.09"
"2021-11-22T12:20:00.000+01:00","21","21.09"
"2021-11-22T12:48:00.000+01:00","20.5","21.13"
"2021-11-22T13:16:00.000+01:00","21.5","21.12"
"2021-11-22T13:44:00.000+01:00","21","21.21"
"2021-11-22T14:12:00.000+01:00","21.5","21.31"
"2021-11-22T14:40:00.000+01:00",,
"2021-11-22T15:08:00.000+01:00","22","21.37"
"2021-11-22T15:36:00.000+01:00","22","21.28"
"2021-11-22T16:04:00.000+01:00","22.5","21.2"
"2021-11-22T16:32:00.000+01:00","22","21.22"
"2021-11-22T17:00:00.000+01:00","22","21.22"
"2021-11-22T17:28:00.000+01:00","22","21.2"
"2021-11-22T17:56:00.000+01:00","22.5","21.2"
"2021-11-22T18:24:00.000+01:00","23","21.19"
"2021-11-22T18:52:00.000+01:00","23","21.19"
"2021-11-22T19:20:00.000+01:00","23.5","21.18"
"2021-11-22T19:48:00.000+01:00","23.5","21.21"
"2021-11-22T20:16:00.000+01:00","24","21.23"
"2021-11-22T20:44:00.000+01:00","24","21.27"
"2021-11-22T21:12:00.000+01:00",,
"2021-11-22T21:40:00.000+01:00","24","21.31"
"2021-11-22T22:08:00.000+01:00","24.5","21.35"
"2021-11-22T22:36:00.000+01:00","24.5","21.37"
"2021-11-22T23:04:00.000+01:00","24.5","21.4"
"2021-11-22T23:32:00.000+01:00","24.5","21.41"
"2021-11-23T00:00:00.000+01:00","24.5","21.4"
"2021-11-23T00:28:00.000+01:00","24","21.37"
"2021-11-23T00:56:00.000+01:00","24","21.34"
"2021-11-23T01:24:00.000+01:00","24","21.34"
"2021-11-23T01:52:00.000+01:00","24","21.31"
"2021-11-23T02:20:00.000+01:00","24","21.28"
"2021-11-23T02:48:00.000+01:00","24","21.28"
"2021-11-23T03:16:00.000+01:00",,
"2021-11-23T03:44:00.000+01:00","24","21.27"
"2021-11-23T04:12:00.000+01:00","24","21.28"
"2021-11-23T04:40:00.000+01:00","24","21.27"
"2021-11-23T05:08:00.000+01:00","24","21.32"
"2021-11-23T05:36:00.000+01:00","24","21.4"
"2021-11-23T06:04:00.000+01:00","24","21.45"
"2021-11-23T06:32:00.000+01:00","24","21.52"
"2021-11-23T07:00:00.000+01:00","23.5","21.54"
"2021-11-23T07:28:00.000+01:00","23.5","21.5"
"2021-11-23T07:56:00.000+01:00","23.5","21.44"
"2021-11-23T08:24:00.000+01:00","23.5","21.38"
"2021-11-23T08:52:00.000+01:00","23.5","21.37"
"2021-11-23T09:20:00.000+01:00",,
"2021-11-23T09:48:00.000+01:00","23.5","21.43"
"2021-11-23T10:16:00.000+01:00","23.5","21.49"
"2021-11-23T10:44:00.000+01:00","23.5","21.54"
"2021-11-23T11:12:00.000+01:00","23.5","21.59"
"2021-11-23T11:40:00.000+01:00","23.5","21.63"
"2021-11-23T12:08:00.000+01:00","23.5","21.69"
"2021-11-23T12:36:00.000+01:00","24","21.7"
"2021-11-23T13:04:00.000+01:00","23.5","21.75"
